sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity
228,"Fox News Trump sells US to Davos, declares 'America is open for business ' Fox News President Trump declared America “open for business ” in a speech Friday to global elites in Davos, Switzerland, while taking a hard line on trade and vowing to make commerce …","Trump sells US to Davos, declares 'America is open for business' - Fox News",Adam Shaw,2018-01-26T13:50:39Z,2,0.3854166667,-0.0729166667,0.5,0
229,"Fox News FOX NEWS FIRST: Another judge rules against Trump on ending DACA; New twist in Stormy Daniels saga Fox News Michael Cohen, the lawyer who worked for Trump for over a decade, said in a statement obtained by Fox News that the 2016 transaction with Stor…",FOX NEWS FIRST: Another judge rules against Trump on ending DACA; New twist in Stormy Daniels saga - Fox News,Fox News,2018-02-14T10:18:36Z,2,0.3939393939,0.1931818182,0.3939393939,0.1931818182
230,Former Trump campaign manager speaks out on 'Fox &amp; Friends.',Lewandowski on FISA memo: There must be accountability,,2018-02-04T15:34:15Z,2,0,0,0,0
231,Former Trump campaign manager provides insight on 'Fox News @ Night.',"Lewandowski weighs in on debate over FISA memo, surveillance",,2018-02-09T04:36:42Z,2,0,0,0,0
232,President Trump delivers remarks at the annual Republican winter retreat.,Trump: GOPers had one of the best years in US history,,2018-02-01T18:21:56Z,2,0,0,0.3,1
233,Ivanka Trump flew commercial to the Olympics foxnews.com,Ivanka Trump flew commercial to the Olympics,Janine Puhak,2018-02-24T18:29:32Z,2,0,0,0,0
234,President Donald Trump has already canned one FBI director.,Trump squares off with a (new) FBI director,"Analysis by Stephen Collinson, CNN",2018-02-01T06:42:43Z,1,0,0,0.4545454545,0.1363636364
235,President Trump touts Republican gains in midterm polling.,How will CPAC get the ball rolling for midterm elections?,,2018-02-20T11:25:00Z,2,0,0,0,0
236,President Trump takes steps to ban 'bump stocks.',President Trump: More must be done to protect children,,2018-02-21T14:09:00Z,2,0,0,0.5,0.5
237,"Fox News Trump says he 'deeply respects' people of Africa after purported derogatory remark Fox News For the past 7 years, Haitian immigrants have enjoyed 'temporary protected status' because of the 2010 earthquake that ravaged the nation. Now, Trump is revie…",Trump says he 'deeply respects' people of Africa after purported derogatory remark - Fox News,Joseph Weber,2018-01-27T14:34:17Z,2,0.45,0.0833333333,0.4,0
238,Donald Trump doesn't laugh.,The weirdest thing Comey said about Trump: He doesn't laugh,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-04-17T13:40:01Z,1,0.1,0.3,0.1,0.3
239,"CNN Trump blames diplomatic shortages on Dems CNN Washington (CNN) President Donald Trump bemoaned the personnel shortages at the State Department on Sunday as his administration readies for talks with North Korean leader Kim Jong Un, charging Democrats with …",Trump blames diplomatic shortages on Dems - CNN,"Maegan Vazquez, CNN",2018-03-11T16:39:09Z,1,0,0,0,0
240,CNN Trump signals wider senior staff shake-up soon CNN (CNN) President Donald Trump signaled on Tuesday he's prepared to dismiss aides with whom he's clashed -- including national security adviser H.R. McMaster -- as he works to surround himself with advisers…,Trump signals wider senior staff shake-up soon - CNN,"Jim Sciutto, Pamela Brown, Jenna McLaughlin and Kaitlan Collins, CNN",2018-03-13T23:15:46Z,1,0,0,0,0
241,"Fox News Donald Trump Jr. tweets after YouTube shooting, stirs gun debate Fox News Donald Trump Jr. tweeted support for the National Rifle Association and its members after Tuesday's shooting in California. ((.)) Donald Trump Jr. on Tuesday responded to repor…","Donald Trump Jr. tweets after YouTube shooting, stirs gun debate - Fox News",Fox News,2018-04-04T08:56:05Z,2,0,0,0,0
242,"Fox News Cal Thomas: Trump boldly wades into cutting federal government down to size -- will it work? Fox News President Donald Trump gestures as he walks as he leaves the White House, Friday, Feb. 16, 2018, in Washington. (Copyright 2018 The Associated Press…",Cal Thomas: Trump boldly wades into cutting federal government down to size -- will it work? - Fox News,Cal Thomas,2018-03-06T09:03:35Z,2,0.4638888889,-0.1055555556,0.6185185185,-0.1407407407
243,"Fox News Trump, GOP leaders face backlash over $1.3 trillion spending package Fox News President Trump signed $1.3 trillion omnibus spending bill despite threatening to veto the legislation; Congressman Dave Brat reacts on 'The Ingraham Angle.' President Trum…","Trump, GOP leaders face backlash over $1.3 trillion spending package - Fox News",Adam Shaw,2018-03-24T19:26:50Z,2,0,0,0,0
244,"Fox News Newt Gingrich: President Trump is up, elite media are down Fox News President Donald Trump stops to speak to members of the media as he arrives for Easter services with first lady Melania Trump at Episcopal Church of Bethesda-by-the-Sea in Palm Beach…","Newt Gingrich: President Trump is up, elite media are down - Fox News",Newt Gingrich,2018-04-05T08:04:24Z,2,0.3111111111,0.0472222222,0.2888888889,-0.1555555556
245,Welcome to Trump Raw.,This is what Donald Trump raw and uncut looks like,"Analysis by Chris Cillizza, CNN Editor-at-large",2018-04-03T13:01:17Z,1,0.6807692308,0.2846153846,0.6307692308,-0.3653846154
246,"Conservative pollster Frank Luntz reconciled his 2015 public row with Donald Trump, saying Tuesday that he now owes the president an apology after his State of the Union address.",Trump critic and GOP pollster Frank Luntz: 'I owe Donald Trump an apology',Lukas Mikelionis,2018-02-01T06:24:24Z,2,0.0666666667,0,0,0
247,"Early Thursday morning, President Donald Trump took to Twitter to share his views about the school shooting in Parkland, Florida, that left 17 dead Wednesday,",We've heard from Twitter Trump and Teleprompter Trump on the school shooting,"Chris Cillizza, CNN Editor-at-large",2018-02-15T19:15:23Z,1,0.2333333333,-0.0333333333,0,0
248,Most pundits oppose Trump tariffs.,Media mourn Gary Cohn exit,,2018-03-11T15:28:30Z,2,0.5,0.5,0,0
249,"President Donald Trump on Sunday defended his use of the term ""mission accomplished"" to describe Friday's missile strike in Syria.",Trump defends 'mission accomplished' tweet,"Maegan Vazquez, CNN",2018-04-15T13:34:01Z,1,0.5,0.2,0.5,0.2
250,"Fox News host Sean Hannity and President Donald Trump have had a long, tight-knit relationship on- and off-air. CNN's Randi Kaye reports.",Sean Hannity's 'bromance' with Trump,,2018-04-17T03:03:38Z,1,0.4,-0.05,0,0
251,"After a fire ripped through an apartment in Manhattan's Trump Tower, art dealer Todd Brassner has lost his life; Laura Ingle has the latest from Trump Tower in New York City.",Trump Tower fire victim identified,,2018-04-09T13:47:59Z,2,0.6772727273,0.3181818182,0.05,-0.075
252,High school history textbook takes jabs at President Trump and his supporters.,Anti-Trump textbook stirs controversy,,2018-04-16T12:25:01Z,2,0.54,0.16,0,0
253,"After a sustained applause for new National Security Adviser John Bolton, President Trump joked about firing him, saying ""you know that means the end of his job.""",Trump jokes about another firing,,2018-04-16T17:15:43Z,1,0.4545454545,0.1363636364,0,0
254,"After a sustained applause for new National Security Adviser John Bolton, President Trump joked about firing him, saying ""you know that means the end of his job.""",Trump jokes about another firing,,2018-04-16T17:49:04Z,1,0.4545454545,0.1363636364,0,0
255,Trump and Macron can't keep their hands off each other. Jeanne Moos reports on the touchy-feely presidential bromance.,Touchy-feely Trump and Macron,,2018-04-25T00:22:36Z,1,0.375,-0.125,0,0
256,"French President Emmanuel Macron is visiting the US this week, the first official state visit of Trump's presidency. Follow here for the latest.",Trump hosts France's President Macron,,2018-04-23T13:25:41Z,1,0.4111111111,0.25,0,0
257,"When President Donald Trump and first lady Melania Trump arrived on the White House South Lawn Tuesday morning to formally welcome French President Emmanuel Macron and his wife, Brigitte, one thing was clear: The first lady commanded attention.",Melania Trump masters the moment,"Betsy Klein and Kate Bennett, CNN",2018-04-24T22:27:21Z,1,0.325,0.2333333333,0,0
258,"On Tuesday, President Trump appeared to be open to a ""clean"" DACA bill. By Wednesday, he seemed adamant that the wall be included in any immigration bill.",Trump changes tone on immigration,,2018-04-21T04:43:59Z,1,0.6333333333,0.1555555556,0,0
259,"Dino Sajudin, a former doorman at a Trump building, confirmed reports that the National Enquirer paid Sajudin $30,000 to prevent him from publicizing a rumor that Donald Trump fathered a child out of wedlock.",Former Trump doorman confirms leaked reports,,2018-04-12T20:42:24Z,1,0.5,0.2,0,0
260,President Trump stated he wants 2-4 thousand National Guard troops deployed to the border; Adam Housley has insight on the of our nation's immigration laws and the 'image move' being made by Trump in placing troops at the border.,Housley: We don't have a consistent policy for immigrants,,2018-04-06T16:42:41Z,2,0.1,0.2,0.25,0.25
261,The unfortunate reality of the Trump era is that prep work by Pompeo is better than prep work by Jared Kushner. But in the case of the Trump Administration it is reassuring that the summit is being taken seriously,Why Pompeo meeting with Kim should make you sleep a little easier,Jonathan Cristol,2018-04-18T13:14:20Z,1,0.7222222222,-0.1111111111,0.5,-0.1875
262,"Dino Sajudin, a former doorman at a Trump building, confirmed reports that the National Enquirer paid Sajudin $30,000 to prevent him from publicizing a rumor that Donald Trump fathered a child out of wedlock.",Former Trump doorman confirms leaked reports,,2018-04-12T20:42:24Z,1,0.5,0.2,0,0
263,"Former FBI director James Comey talks Trump, Hillary Clinton and the Steele dossier with ABC's George Stephanopoulos, in the first sit-down, televised interview Comey's given since he was fired by President Trump last May.",Comey: Trump is 'morally unfit' to be President,,2018-04-16T07:51:11Z,1,0.1333333333,0.0833333333,0.25,0
264,"In his first TV interview since being fired by President Trump, former FBI Director James Comey came out swinging, describing Trump as “morally unfit to be president,” and an ego-driven serial liar who treats women like “meat.”","Comey calls Trump 'morally unfit to be president,' says he wouldn't have changed handling of Clinton probe",Barnini Chakraborty,2018-04-16T02:29:02Z,2,0.1944444444,0.0833333333,0.25,0
265,"As President Donald Trump assesses how to respond to the alleged chemical attack in Syria that killed and maimed dozens of civilians, lawmakers disagreed Monday what an appropriate response should be and whether Trump needed their authorization before acting.",Senators disagree over military response to Syria -- and Trump's legal authority to wage it,"Ted Barrett, CNN",2018-04-10T10:00:18Z,1,0.15,0.05,0.15,0.05
266,"On 'Fox &amp; Friends,' counselor to the president says Trump will hold responsible Syria, Iran and Russia, responds to the former FBI chief's new book, talks pressure on Trump to fire Rosenstein.",Conway: Comey sounds like a 'disgruntled ex-employee',,2018-04-13T12:40:59Z,2,0.3348484848,0.1121212121,0,0
267,The publisher of The National Enquirer reportedly paid a former Trump Tower doorman to keep him quiet about a rumor regarding a Donald Trump affair. The New Yorker's Ronan Farrow reports.,Ronan Farrow breaks down the National Enquirer story,,2018-04-12T15:51:38Z,1,0.2626262626,0.0454545455,0.2888888889,-0.1555555556
268,The memos former FBI director James Comey wrote after his meetings with President-elect Trump and President Trump have been leaked. Here are some of the biggest claims made within the documents.,Comey memos: 6 biggest claims,,2018-04-20T17:58:27Z,2,0,0,0,0
269,"In an interview with CNN's Fredricka Whitfield, billionaire democratic donor Tom Steyer says President Trump is right about the Chinese stealing intellectual property from the US for years, but that President Trump is not attacking the problem directly.","Dem donor: China tariffs are reckless, dangerous",,2018-04-08T21:29:33Z,1,0.3339285714,0.1714285714,0.9,-0.6
270,"When President Donald Trump expressed thanks via Twitter to New York City firefighters following Saturday’s deadly fire at Trump Tower, he mentioned the fire was “very confined” because the tower was a “well built building.”","Trump Tower 'well built,' but lacks sprinklers on upper floors, FDNY commissioner says",Dom Calicchio,2018-04-08T05:31:46Z,2,0.2909090909,0.0672727273,0,0
271,"Former FBI Director James Comey wrote in his unreleased book that President Donald Trump asked him to look into one of the most infamous allegations in a dossier of claims about Trump and Russia, the New York Post reported Thursday.",NYPost: Comey book alleges Trump asked him to disprove 'golden showers thing',"Eli Watkins, CNN",2018-04-12T21:48:04Z,1,0.4886363636,0.0340909091,0.5,0.3
272,"In an exclusive interview with CNN's Anderson Cooper, former Trump campaign adviser Roger Stone said he's suggested President Trump fire Deputy Attorney General Rod Rosenstein and dismiss Attorney General Jeff Sessions.",Stone: Trump should dismiss Sessions,,2018-04-12T20:26:40Z,1,0.3333333333,0.0333333333,0,0
273,"It was a photo-op meant to portray President Donald Trump at his most commanding: Flanked by senior military leaders, Trump was there to plot America's response to a suspected chemical gas attack in Syria.",Cohen raid ignites Trump's rage and sparks speculation,"Kevin Liptak, CNN White House Producer",2018-04-10T01:41:35Z,1,0.3,0.2,0,0
274,President Donald Trump dismissed on Wednesday the newly-released composite sketch of a man who adult film star Stormy Daniels says threatened her over her alleged affair with Trump more than a decade ago.,Trump calls Stormy Daniels suspect sketch 'a total con job',"Maegan Vazquez, CNN",2018-04-18T10:55:26Z,1,0.3,0.1666666667,0.75,0
275,"As the DNC files a lawsuit against Russia and the Trump campaign, Rosenstein has reportedly told Trump he is not the target of the Russia investigation; attorneys join 'Your World' with insight.",Trump campaign calls DNC lawsuit a 'sham',,2018-04-20T21:03:03Z,2,0,0,0.3,-0.2
276,"It's been a stormy start to spring so far for the Trump administration, with adult film star Stormy Daniels dominating headlines. But -- this being the Trump administration -- the Daniels news wasn't even the biggest news of the week.",It was a jam-packed news week -- even with President Trump away from DC,"Analysis by Saba Hamedy, CNN",2018-04-20T23:19:28Z,1,0.65,0.1,0,0
277,"Tuesday's State Dinner with France is a major moment of diplomacy for the Trump administration, but it's also the culmination of months of thoughtful work and attention to detail by first lady Melania Trump and her East Wing staff.",Melania Trump's East Wing team as they prepare for major diplomatic moment,"Betsy Klein, CNN",2018-04-21T18:44:20Z,1,0.4444444444,0.2375,0.5,0.0625
278,Attorney General Jeff Sessions kept quiet Wednesday about whether he would recuse himself from the criminal investigation into Trump attorney Michael Cohen and refused to speculate on resigning should President Trump choose to fire Deputy Attorney General Rod…,"Sessions stays mum on Rosenstein speculation, Cohen probe at Senate hearing",Brooke Singman,2018-04-25T21:21:44Z,2,0.4708333333,-0.075,0,0
279,Explaining the media disconnect on Trump.,"Trump: Negative stories, rising polls",,2018-04-09T07:51:42Z,2,0,0,0.4,-0.3
280,Is President's slam helping him sell books?,Comey's anti-Trump TV blitz,,2018-04-15T15:28:03Z,2,0,0,0,0
281,"Stormy Daniels' attorney Michael Avenatti says Donald Trump's personal lawyer, Michael Cohen, is going to fold on the President ""like a cheap deck of cards.""",Avenatti: Trump picked wrong 'fixer',,2018-04-11T01:47:24Z,1,0.5,0.2,0.9,-0.5
282,Speaker Paul Ryan's decision not to seek an 11th term this fall sends a chilling signal to Republicans hoping to keep control of the House in November while also illustrating the impossibilities of serving as an elected GOP leader in Donald Trump's Washington.,"Analysis: Ryan loses, Trump wins","Chris Cillizza, CNN Editor-at-large",2018-04-11T14:18:30Z,1,0.9,-0.5,0.15,0
283,"What Coulter and other new 'Never Trump-ers' seem to be only now recognizing is that the man who ran for president on the basis of slogans and false claims really had no firm idea about how he was going to advance what little agenda he claimed, writes Michael…",How Trump lost Ann Coulter,Michael D'Antonio,2018-04-06T22:25:49Z,1,0.5042207792,-0.0394480519,0,0
284,President Donald Trump continues to support Environmental Protection Agency Administrator Scott Pruitt amid a steady stream of negative headlines.,Trump praises Pruitt despite scandals,,2018-04-12T18:38:01Z,1,0.45,-0.0666666667,0,0
285,"Former FBI Director James Comey tells CNN's Jake Tapper that President Donald Trump has a ""bully-like"" behavior, but he doesn't hate the President.",Comey: I don't hate Trump,,2018-04-19T20:39:13Z,1,0.45,-0.4,0.9,-0.8
286,"President Donald Trump says that he is confident that Mike Pompeo will be confirmed as secretary of state and Sen. Rand Paul (R-KY), who has been a vocal critic of Pomopeo, won't let the president down and vote against the nomination.",Trump calls out Rand Paul,,2018-04-18T19:46:48Z,1,0.7074074074,0.2481481481,0,0
287,"In an interview with CNN's Alisyn Camerota, Sen. Bob Corker (R-TN) questions if President Trump will run for re-election in 2020 and says that he wants to see who else is running before deciding whether or not to back Trump.",Corker questions Trump 2020 bid,,2018-04-19T13:08:06Z,1,0.05,0.1,0,0
288,President Donald Trump continues to support Environmental Protection Agency Administrator Scott Pruitt amid a steady stream of negative headlines.,Trump praises Pruitt despite scandals,,2018-04-06T21:09:43Z,1,0.45,-0.0666666667,0,0
289,Targets Amazon while slamming Washington Post.,Trump hits Jeff Bezos' companies,,2018-04-08T15:44:57Z,2,0,0,0,0
290,President Donald Trump announced that he ordered strikes on the Syrian regime in response for a chemical weapon attack last weekend.,Hear Trump speak about Syria,,2018-04-14T01:11:11Z,1,0.0666666667,0,0,0
291,Tough talk from President Trump aimed at Bashar Assad in Syria following chemical attacks on civilians; Fox News contributor Marie Harf has insight on 'The Story.',Will Trump retaliate against Assad?,,2018-04-10T23:34:07Z,2,0.4666666667,-0.1944444444,0,0
292,"White House press secretary Sarah Sanders says that ""all options are on the table"" for confronting Russia, even if it means military engagement.",Reporters ask about Trump tweets,,2018-04-11T21:38:59Z,1,0.05,-0.05,0,0
293,"Brushing dirt off one's shoulders is very much a thing of the aughts. Brushing dandruff off someone else's shoulders, however, is so very 2018.",Trump brushes off Macron's 'dandruff',"Brenna Williams, CNN",2018-04-24T16:53:42Z,1,0.28,0.23,0,0
294,Donald Trump wants to fire someone.,"For Donald Trump, firing Rod Rosenstein might be just the thing","Analysis by Chris Cillizza, CNN Editor-at-large",2018-04-11T16:15:26Z,1,0.1,0.2,0,0
295,Leaks say Trump has come 'unglued.',Lewandowski on 'chaotic' president,,2018-04-15T15:46:23Z,2,0,0,0,0
296,For tone of anti-Trump attacks.,Press roughs up Comey,,2018-04-22T15:18:43Z,2,0,0,0,0
297,"During a campaign speech for Rick Saccone, the GOP candidate for Pennsylvania's 18th Congressional District, President Trump mocked what ""being presidential"" would sound like, after recounting criticism on how he speaks.",President Trump mocks being presidential,,2018-03-11T01:40:00Z,1,0.4,0.4,0,0
298,Author and radio host Mark Steyn reveals whom he would bet on in a fight between Joe Biden and President Trump. #Tucker,Steyn on Biden vs. Trump,,2018-03-23T00:47:57Z,2,0,0,0,0
299,"The Museum of the Bible has acquired one of the two Bibles President Trump used to take the oath of office in January 2017, joining other versions used by American presidents at the privately-funded Washington, D.C museum.",Trump Bible heads to museum,Caleb Parke,2018-03-19T17:33:00Z,2,0.1875,-0.0625,0,0
300,Why is President Trump tweeting about castrated sheep? CNN's Jeanne Moos reports on a flurry of typos.,President Trump tweets typos... again,,2018-03-22T00:11:46Z,1,0,0,0,0
301,"The Museum of the Bible has acquired one of the two Bibles President Trump used to take the oath of office in January 2017, joining other versions used by American presidents at the privately-funded Washington, D.C museum.",Trump Bible heads to museum,Caleb Parke,2018-03-19T17:33:00Z,2,0.1875,-0.0625,0,0
302,Aides urged against congratulating Russian.,Trump advice on Putin leaked,,2018-03-25T15:27:09Z,2,0,0,0,0
303,"President Donald Trump spoke to reporters Tuesday and tweeted at length about immigration and border security, saying the US ""basically"" has ""no border.""",Trump on immigration: Fact check,"Tal Kopan, CNN",2018-04-04T01:10:24Z,1,0,0,0,0
304,"President Donald Trump is continuing his attack against Amazon, accusing the company of scamming the US Postal Service.",Trump continues attack on Amazon,,2018-03-31T13:43:09Z,1,0,0,0,0
305,Fox Business Network's Deirdre Bolton on Beijing's face-saving response.,China retaliates to Trump tariffs,,2018-04-03T22:24:41Z,2,0,0,0,0
306,"Lithuanian President Dalia Grybauskaitė joked during a joint press conference that President Trump offers leadership to NATO — albeit ""unpredictable leadership.""",Lithuanian president jokes to Trump,,2018-04-03T20:05:54Z,1,0.5,-0.0333333333,0,0
307,Trump team accused of legal threats.,Press touts porn star's suit,,2018-03-11T15:43:20Z,2,0.2,0.2,0,0
308,Media slam President Trump over Amazon comments.,Breaking down the Amazon-USPS relationship,,2018-04-02T12:55:36Z,2,0,0,0.2888888889,-0.1555555556
309,President Trump makes remarks about DACA.,Trump on DACA: Democrats have really let them down,,2018-04-02T15:29:02Z,2,0,0,0.2444444444,0.0222222222
310,"President Donald Trump announced the slogan for his 2020 presidential campaign, since ""Make America Great Again"" will be outdated.",Trump reveals 2020 campaign slogan,,2018-03-11T06:22:46Z,1,0.6916666667,0.2,0,0
311,"Rep. Ruben Gallego (D-AZ) says he thinks President Trump's decision to sign controversial tariffs on aluminum and steel are a result of his lack of convictions and claims Trump is ""acting like a teenager.""",Lawmaker: Trump acting like teen,,2018-03-08T23:41:37Z,1,0.475,0.275,0,0
312,The White House deals with Stormy Daniels fallout. Republicans are criticizing Trump's tariffs. And the President meets with video game industry leaders. Here's the latest.,President Trump today: Live updates,"Meg Wagner, Brian Ries and Amanda Wills, CNN",2018-03-08T14:59:51Z,1,0.4333333333,0.0333333333,0.5,0.1363636364
313,Accused of retreat under NRA pressure.,Pundits hit Trump on guns,,2018-03-18T15:27:48Z,2,0,0,0,0
314,Ask around about Donald Trump's time as an Atlantic City mogul and the stories are legion: A-larger-than-life figure whose casinos were all about him. Some mistakes he would forgive. But according to one story -- maybe urban legend -- there was one unforgivab…,"Trump flexes muscles, follows instinct","Gloria Borger, CNN Chief Political Analyst",2018-03-13T23:31:50Z,1,0,0,0,0
315,President says he'll meet with his Russian counterpart soon; reaction and analysis from the 'Special Report' All-Stars.,Russia relations: Trump congratulates Putin,,2018-03-20T23:01:27Z,2,0.2857142857,0.1785714286,0,0
316,"President Donald Trump is openly wondering what happened to the collection of officials he described only five months ago as the ""finest group of people ever assembled"" as members of his Cabinet find themselves embroiled in ethics scandals or woefully at odds…",Trump eyes purging Cabinet 'deadweight',"Kevin Liptak and Rene Marsh, CNN",2018-03-14T15:58:54Z,1,0.75,0,0,0
317,President Donald Trump fuels speculation of more White House turnover as he aims to get closer to having the cabinet that he wants. CNN's Jeff Zeleny reports.,Source: Trump enjoying staff speculation,,2018-03-16T21:46:15Z,1,0.2,0.2333333333,0.6,0.5
