sno,description,title,author,publishedAt,source,desc_subjectivity,desc_polarity,titl_subjectivity,titl_polarity,,,,
102,"The accounts retweeted then candidate Donald Trump ten times more than they retweeted his rival Hillary Clinton, according to Twitter's written statement to",Russian bots retweeted Trump almost half a million times in final weeks of 2016 campaign,Donie O'Sullivan,2018-01-27T17:37:56Z,1,0.25,0.25,0.3888888889,-0.0555555556,,,,
103,Hillary Clinton surprised viewers by making an appearance in a pre-taped segment for the 60th Annual Grammy Awards on Sunday night.,Hillary Clinton makes Grammys cameo to mock Trump by reading 'Fire and Fury',Sasha Savitsky,2018-01-29T03:27:04Z,2,0.9,0.1,0,0,,,,
104,"Hillary Clinton emerged from the woods of Chappaqua, New York to crack a joke at President Trump’s expense during Sunday night’s Grammy Awards.",If only Hillary had read a passage from Juanita Broaddrick's book,Todd Starnes,2018-01-29T10:00:21Z,2,0.4545454545,0.1363636364,1,0,,,,
105,"Hillary Clinton describes Whitewater as 'learning experience'; catch episode two of Fox News' 7-part series 'Scandalous' on Sunday, January 28 at 8 p.m. ET.",'Scandalous' preview: Whitewater as 'learning experience'?,,2018-01-27T00:36:56Z,2,0,0,0,0,,,,
106,"According to the New York Times, Hillary Clinton shielded faith adviser Burns Strider after co-worker accused him of sexual harassment; reaction and analysis on 'The Five.'",Rpt: Clinton ignored call to fire aide accused of harassment,,2018-01-26T23:06:09Z,2,0.6439393939,0.3181818182,0,0,,,,
107,Hillary Clinton made a surprise appearance on Sunday night in a Grammy Awards comedy bit that took a jab at President Trump.,"Hillary Clinton, Cher, Snoop and others read 'Fire and Fury' excerpts at 2018 Grammys","Chloe Melas, CNN",2018-01-29T03:32:10Z,1,0,0,0,0,,,,
108,"Former Hillary Clinton campaign chief Patti Doyle said Clinton ""definitely made the wrong call"" not to fire an adviser accused of sexual harassment during the 2016 presidential election.",Ex-campaign chief: Clinton overruled me,,2018-01-29T16:55:31Z,1,0.5583333333,0,0,0,,,,
109,Bill and Hillary Clinton are eager to deal President Donald Trump a blow and help Democrats win control of Congress this fall.,How #MeToo could knock the Clintons off the 2018 map,"Dan Merica and Eric Bradner, CNN",2018-01-31T15:54:26Z,1,0.4,0.8,0,0,,,,
110,Hillary Clinton's frustrated critique of her rejection by a portion of the American electorate has drawn criticism from fellow Democrats who need to win those parts of the country to keep their jobs in November.,Trump-state Democrats want no part of Clinton's 'backwards' bite,"Analysis by Z. Byron Wolf, CNN",2018-03-14T16:44:47Z,1,0.2,0.0333333333,0,0,,,,
111,"There's a new book out by Hillary Clinton's former communications director, Jennifer Palmieri, suggesting that sexism by American voters – not Clinton's email scandal – was the key factor responsible for Clinton’s loss to Donald Trump in the 2016 presidential…",Sexism didn’t defeat Hillary Clinton -- Wild untruths about emails are why she's not Madam President,Tom Fitton,2018-03-27T19:33:40Z,2,0.4009090909,0.0672727273,0.4,0.1,,,,
112,"Planned Parenthood’s political arm in Wisconsin has been fined for failing to appropriately report nearly $120,000 in independent expenditures allocated in support of Democratic candidates Hillary Clinton and Russ Feingold during 2016 elections.","Planned Parenthood's political group failed to accurately disclose $120G in support of Clinton, Dems, FEC says",Lukas Mikelionis,2018-04-04T09:13:08Z,2,0.28125,0.15,0.3444444444,-0.0333333333,,,,
113,"President Donald Trump on Monday accused the Obama administration of using the investigation into potential ties between his campaign and Russia's meddling in the 2016 election to discredit his bid and boost the chances of his Democratic opponent, Hillary Cli…",Trump: Obama launched Russia probe to discredit me,"Maegan Vazquez, CNN",2018-03-05T15:44:15Z,1,1,0,0,0,,,,
114,"A senior adviser at the Department of Housing and Urban Development spread a false conspiracy theory that claimed Hillary Clinton's 2016 presidential campaign chairman took part in a Satanic ritual, a CNN KFile review of his tweets show.",Senior adviser at HUD spread conspiracy theory that Clinton campaign chairman was Satanist,"Andrew Kaczynski, CNN",2018-03-08T21:39:32Z,1,0.3,-0.2,0,0,,,,
115,"President Donald Trump, in an attempt to tout his plan to send astronauts back to the moon and eventually Mars, slammed his 2016 opponent Hillary Clinton in a speech in Miramar, California, on Tuesday.",Trump reaches back to 2016 campaign to slam Clinton over Mars,"Dan Merica, CNN",2018-03-13T22:09:48Z,1,0,0,0,0,,,,
116,"In a new memoir, former Hillary Clinton campaign communications director Jennifer Palmieri says the Clinton email scandal was a like ""a box we could never get out of,"" The Washington Post reports.",Former Clinton campaign communications director: Emails were 'a box we could never get out of',Sophie Tatum,2018-03-24T15:32:06Z,1,0.2272727273,0.0681818182,0,0,,,,
117,House Republicans want more information from the FBI regarding the probe into Hillary Clinton's emails and the firing of ousted FBI Deputy Director Andrew McCabe. Was the FBI biased? House Judiciary Chairman Bob Goodlatte weighs in on 'Your World.',Rep. Goodlatte: We want to see everything the IG has seen,,2018-03-26T21:02:10Z,2,0.5,0.5,0,0,,,,
118,"Hillary Clinton on Monday returned to blaming “misogyny” and “sexism” for contributing to her 2016 election loss, during a Washington appearance that followed a critical report on how she handled sexual harassment allegations during her 2008 campaign.",Clinton again blames 'misogyny and sexism' for 'what happened' in 2016,Brooke Singman,2018-02-05T20:45:14Z,2,0.8166666667,0.25,0,0,,,,
119,"Hillary Clinton’s trip to India is evoking memories from her failed 2016 bid for president, as the Democrat makes headlines for blaming racism and misogyny for her loss while taking stumbles in front of the cameras.",Hillary Clinton blames 'pressure' from men for why white women voted for Trump,Alex Pappas,2018-03-13T12:23:12Z,2,0.3,-0.5,0,0,,,,
120,"Former Hillary Clinton aide Jennifer Palmieri writes in new book that Clinton wanted to address the email issue but campaign urged against it; reaction and analysis from Tom Fitton, president of Judicial Watch.",Did Hillary's campaign give her bad advice on email scandal?,,2018-03-26T18:07:46Z,2,0.2272727273,0.0681818182,0.6666666667,-0.7,,,,
121,"Hillary Clinton suggested Thursday that the criticism she should ""go away"" following her election loss to President Donald Trump is based in sexism, arguing that her critics never asked that of losing candidates who are male.",Hillary Clinton cites sexism in criticism she should exit political stage,"Veronica Stracqualursi, CNN",2018-03-30T15:58:25Z,1,0.1,0,0.1,0,,,,
122,A former government official under Hillary Clinton now confirms the dossier author also reached out to the State Department in July 2016 about his findings; Catherine Herridge goes in-depth for 'Special Report.',House Intel Committee considers release of Dem FISA memo,,2018-02-05T23:15:16Z,2,0.2857142857,0.1785714286,0,0,,,,
123,"Former FBI Deputy Director Andrew McCabe knew of thousands of emails related to the Hillary Clinton private server investigation for at least a month before then-FBI Director James Comey informed Congress, The Wall Street Journal reported late Wednesday.","McCabe learned about Clinton emails on Weiner laptop a month before FBI alerted Congress, report says",Samuel Chamberlain,2018-02-01T03:00:31Z,2,0.355,-0.12,0,0,,,,
124,Informant claims Russian nuclear officials told him that Moscow hired the American lobbying firm APCO Worldwide in hopes of influencing then-Secretary of State Hillary Clinton through contributions to the Clinton Foundation; Griff Jenkins reports on latest de…,Informant makes shocking claims in Uranium One scandal,,2018-02-08T14:55:18Z,2,0.325,0.075,1,-1,,,,
125,"Hillary Clinton faulted President Donald Trump for continuing to ""ignore and surrender"" to Russian meddling in a tweet on Wednesday, asking whether the Republican who defeated her in the 2016 election will ""protect the country.""",Clinton says Trump is surrendering to Russia's election meddling,"Dan Merica, CNN",2018-02-28T16:39:11Z,1,0,0,0,0,,,,
126,"The Justice Department watchdog briefed a bipartisan group of lawmakers Tuesday on its investigation into the FBI's actions during the 2016 election, including its probe into Hillary Clinton's emails.",Justice Dept. watchdog briefs lawmakers on investigation into FBI's Clinton email probe,"Jeremy Herb and David Shortell, CNN",2018-02-07T03:31:11Z,1,0,0,0,0,,,,
127,"Russian operatives used millions of dollars and an array of fake social media accounts to support the themes of the Trump campaign in a bid to defeat Hillary Clinton, and it had to have had an impact, writes Paul Callan.",Mueller tells a compelling story of Russian intrigue that was designed to elect Trump,Paul Callan,2018-02-17T20:44:46Z,1,0.3555555556,-0.1555555556,0.5,0.3666666667,,,,
128,"Mueller indictment creates new legal questions for Hillary Clinton, DNC, Fusion GPS and Christopher Steele; reaction from Fox News national security strategist Sebastian Gorka and Fox News contributor Byron York on 'Hannity.'",DOJ to probe potential Obama-era surveillance abuses,,2018-02-20T02:53:15Z,2,0.3272727273,0.1681818182,1,0,,,,
129,"Fox News Patti Solis Doyle says she was 'overruled' after recommending Clinton fire adviser accused of sexual harassment Fox News According to the New York Times, Hillary Clinton shielded faith adviser Burns Strider after co-worker accused him of sexual haras…",Patti Solis Doyle says she was 'overruled' after recommending Clinton fire adviser accused of sexual harassment - Fox News,Samuel Chamberlain,2018-01-29T21:03:54Z,2,0.7070707071,0.3787878788,0.8333333333,0.5,,,,
130,"While preparing for his new role, Secretary of State-designate Mike Pompeo reached out to every living former secretary of state, including Hillary Clinton, a source close to Pompeo who is familiar with his preparation told CNN.",Pompeo reaches out to Hillary Clinton to prepare for secretary of state role,"Maegan Vazquez and Elise Labott, CNN",2018-04-10T12:58:39Z,1,0.3181818182,0.1704545455,0,0,,,,
131,"A Donald Trump foreign policy adviser pushed government agencies to review materials from the dark web in the summer of 2016 that he thought were Hillary Clinton's deleted emails, multiple sources with direct knowledge tell CNN.",Exclusive: Trump adviser played key role in pursuit of possible Clinton emails from dark web before election,"Jenna McLaughlin, Jim Sciutto and Carl Bernstein, CNN",2018-04-06T22:01:00Z,1,0.23125,-0.04375,0.8,-0.05,,,,
132,Politico reports that candidate Trump swamped Hillary Clinton and outperformed Mitt Romney in areas without trusted local news outlets; reaction from Fox News contributors Judith Miller and Tammy Bruce.,Report: Trump thrives in 'news deserts',,2018-04-09T15:46:44Z,2,0,0,0,0,,,,
133,"New York Times reporter Amy Chozick, who was the lead New York Times reporter covering Hillary Clinton’s 2016 presidential campaign, admits in her new memoir that she cried following Clinton’s 2016 Election Day loss.",The New York Times' lead 2016 Clinton campaign reporter admits crying after Trump's victory,Brian Flood,2018-04-20T18:20:12Z,2,0.3659090909,0.1022727273,0.5272727273,-0.0318181818,,,,
134,Celebrity scion Ronan Farrow said that Hillary Clinton tried to avoid speaking to him for his new book because he was in the middle of exposing her good friend Harvey Weinstein as a sexual predator.,Ronan Farrow says Hillary Clinton almost bailed on scheduled interview over his Harvey Weinstein reporting,Brian Flood,2018-04-25T16:05:53Z,2,0.471969697,0.3340909091,0,0,,,,
135,Former FBI director James Comey says his belief that Hillary Clinton would win the 2016 presidential election played a role in the way he handled the investigation into her use of a private email sever as secretary of state.,Comey says he reopened probe into Clinton's emails because he thought she would win election,"Clare Foran, CNN",2018-04-14T23:52:33Z,1,0.2583333333,0.2666666667,0.4,0.8,,,,
136,"Hillary Clinton went on a “f***-laced fusillade” against “disgusting” Donald Trump during a 2016 debate preparation session amid her frustration of appearing inauthentic to voters, a new book about the presidential campaign claims.","Clinton cursed about 'disgusting' Trump during debate prep, book claims",Lukas Mikelionis,2018-04-26T05:11:39Z,2,0.7272727273,-0.4318181818,1,-1,,,,
137,"Former FBI director James Comey talks Trump, Hillary Clinton and the Steele dossier with ABC's George Stephanopoulos, in the first sit-down, televised interview Comey's given since he was fired by President Trump last May.",Comey: Trump is 'morally unfit' to be President,,2018-04-16T07:51:11Z,1,0.1333333333,0.0833333333,0.25,0,,,,
138,"Former Attorney General Loretta Lynch says former FBI Director James Comey didn't appear concerned by the decision to call an inquiry into Hillary Clinton's private email server a ""matter"" rather than an ""investigation.""",Lynch: Comey didn't raise objections over handling of Clinton investigation,"Maegan Vazquez, CNN",2018-04-09T14:34:39Z,1,0.21875,0.0125,0,0,,,,
139,"A political appointee at the Department of Health and Human Services shared an image in 2017 that said ""our forefathers would have hung"" Barack Obama and Hillary Clinton for treason, a CNN KFile review has found.","HHS official shared post saying 'forefathers' would have 'hung' Obama, Clinton for treason","Andrew Kaczynski, Chris Massie and Nathan McDermott, CNN",2018-04-13T20:04:59Z,1,0.1,0,0,0,,,,
140,"President Donald Trump wants to be a provocateur again. Why else would he bring up his specious and repeatedly disproven claim that millions voted illegally in California, where he was walloped by Hillary Clinton?",Trump basically called Mexicans rapists again,"Analysis by Z. Byron Wolf, CNN",2018-04-06T15:46:14Z,1,0.3,-0.15,0,0,,,,
141,"Former FBI Director James Comey answered New Yorkers' questions on moral leadership, regret and Hillary Clinton's emails on Wednesday night for the first time since his book was released.",James Comey faces the public's questions at New York book event,"Eric Levenson, CNN",2018-04-19T01:26:32Z,1,0.259469697,0.0965909091,0.2606060606,0.0681818182,,,,
142,"Republicans in Congress are calling for criminal investigations into the potential illegal actions of James Comey, Hillary Clinton, Loretta Lynch and other officials with ties to the Steele dossier.",Hannity: House Republicans putting the deep state on notice,,2018-04-19T01:27:15Z,2,0.60625,-0.25625,0.4,0,,,,
143,"Fired FBI Director James Comey acted inappropriately in his handling of the Hillary Clinton email investigation, says Lanny Davis, former special counsel to President Clinton and author of 'The Unmaking of the President 2016.'",Lanny Davis: James Comey lied 'and he knows it',,2018-04-18T18:20:48Z,2,0.2857142857,0.1785714286,0,0,,,,
144,"A top liberal think tank led by a Hillary Clinton ally has reportedly faced multiple internal allegations of sexual harassment, amid claims from former and current employees that top brass at the organization haven’t done enough to address it.",Liberal think tank run by Clinton ally Tanden hit for response to sexual harassment,Brooke Singman,2018-04-24T19:03:04Z,2,0.3416666667,0.1875,0.8333333333,0.5,,,,
145,Fox News Trump: Obama DOJ launched 'unprecedented' probe to 'discredit' him 'so Crooked H would win' Fox News President Trump on Monday accused the Department of Justice and FBI under former President Barack Obama of launching an investigation into his campai…,Trump: Obama DOJ launched 'unprecedented' probe to 'discredit' him 'so Crooked H would win' - Fox News,Alex Pappas,2018-03-05T14:25:56Z,2,0.35,0.35,0.4666666667,0.4666666667,,,,
146,"Fox News Was Clinton attack dog Sidney Blumenthal involved in launch of Russia collusion investigation? Fox News A name long associated with the Clinton machine has surfaced as a behind-the-scenes figure in the Trump-Russia collusion story, prompting some to …",Was Clinton attack dog Sidney Blumenthal involved in launch of Russia collusion investigation? - Fox News,Steve Kurtz,2018-02-12T20:42:55Z,2,0.4,-0.05,0,0,,,,
147,"Fox News Ben Shapiro tells CPAC the 'era of political correctness is over' Fox News Author and radio talk show host tells CPAC attendees the 'big secret' to conservatives' success. NATIONAL HARBOR, Md. – Conservative commentator Ben Shapiro on Thursday told a…",Ben Shapiro tells CPAC the 'era of political correctness is over' - Fox News,Alex Pappas,2018-02-22T23:04:17Z,2,0.225,-0.025,0.1,0,,,,
148,Fox News Hillary Clinton accuses Trump of 'surrender' over Russian election interference Fox News Which Democrats could challenge President Trump? Editor-at-large for Ballotpedia Scott Rasmussen shares his perspective on 'Fox & Friends First.' Hillary Clinton…,Hillary Clinton accuses Trump of 'surrender' over Russian election interference - Fox News,Alex Pappas,2018-02-28T17:08:44Z,2,0.1666666667,0.125,0,0,,,,
149,"According to the New York Times, the complaint was made by a 30-year-old Clinton staffer who shared an office with Burns Strider who was reportedly kept on the campaign at Hillary Clinton's request.",Report: Clinton's faith adviser accused of sexual harassment,,2018-01-26T21:05:40Z,2,0.3272727273,-0.0818181818,0.8333333333,0.5,,,,
150,New sex harassment allegations have surfaced against a campaign aide Hillary Clinton reportedly refused to fire in 2008 following a similar complaint that he harassed a subordinate with inappropriate kisses and suggestive emails.,"Hillary Clinton aide stayed on after 2008 sexual harassment complaint, but bad behavior continued, report says",Fox News,2018-01-28T20:09:24Z,2,0.2886363636,-0.0409090909,0.5666666667,-0.1666666667,,,,
151,"Hillary Clinton decided not to fire a senior adviser on her 2008 presidential campaign who had been accused of sexual harassment, against the recommendation of her campaign manager, according to a report Friday in The New York Times.","Clinton kept adviser accused of harassment on her 2008 campaign, NY Times reports","Dan Merica and Veronica Stracqualursi, CNN",2018-01-26T18:31:50Z,1,0.6439393939,0.3181818182,0,0,,,,
152,Rep. Matt Gaetz (R-FL) tells CNN's Jake Tapper he believes former FBI director James Comey reopened the Hillary Clinton investigation 10 days before the 2016 election in order to help himself.,Gaetz: Why Comey reopened Clinton case,,2018-01-29T22:46:35Z,1,0,0,0,0,,,,
153,"Hillary Clinton's former presidential campaign manager said Monday she was overruled when she recommended firing Burns Strider, a former campaign faith adviser who was accused of sexual harassment when he worked on Clinton's 2008 presidential campaign.",Ex-Clinton campaign chief says she was overruled in decision not to fire adviser,"Maegan Vazquez, CNN",2018-01-29T16:45:56Z,1,0.2777777778,0.1666666667,0,0,,,,
154,"While the stars in attendance seemed to enjoy Sunday night's highly-politicized Grammy Awards, viewers were turned off by the night's political antics which included a cameo from former presidential candidate Hillary Clinton.",Grammys ratings plummet following politically charged night,Sasha Savitsky,2018-01-29T17:46:33Z,2,0.2,0.1333333333,0.1,0,,,,
155,"An ongoing government review of the FBI's handling of the Hillary Clinton email investigation has focused on recently departed FBI Deputy Director Andrew McCabe's role near the end of the 2016 campaign, The Washington Post reported Tuesday.",Washington Post: IG was investigating why McCabe appeared not to act on Weiner emails,"Eli Watkins, CNN",2018-01-30T22:28:17Z,1,0.325,0.05,0,0,,,,
156,"With allegations of an affair between Donald Trump and a former Playboy playmate, Melania Trump finds herself in a situation not dissimilar from her predecessors -- but this time it's at the height of #MeToo movement, writes Kate Andersen Brower.","Melania, Hillary and Jackie: Are the rules about infidelity finally changing?",Kate Andersen Brower,2018-02-19T23:20:17Z,1,0,0,1,0,,,,
157,"Watch the latest video at FoxNews.com FOX NEWS INSIDER - Constitutional law expert and former Reagan administration official Mark Levin said Americans have been subjected to a ""massive propaganda campaign"" to protect Hillary Clinton and President Barack Obama…",Mark Levin on FISA Controversy: Obama Likely Knew 'Hillary Clinton Paid for a Warrant',robinson,2018-02-06T11:12:46Z,2,0.5,0.1,1,0,,,,
158,New bombshell information emerges from unredacted Grassley-Graham memo; panel debates on 'Hannity.',What did Hillary Clinton know and when did she know it?,,2018-02-07T03:05:15Z,2,0.4545454545,0.1363636364,0,0,,,,
159,Fox News Omarosa explains why she left Hillary Clinton's campaign for Trump's on 'Celebrity Big Brother' Fox News Former Trump staffer Omarosa Manigault calls the vice president 'extreme' on 'Celebrity Big Brother'; Marc Lotter reacts on 'The Story.' Omarosa …,Omarosa explains why she left Hillary Clinton's campaign for Trump's on 'Celebrity Big Brother' - Fox News,Tyler McCarthy,2018-02-18T23:57:22Z,2,0.24,-0.025,0.05,0,,,,
160,"Fox News Roseanne Barr criticizes Hillary Clinton, says Trump is 'great for comedy' Fox News Roseanne Barr arrives at the 75th Golden Globe Awards in Beverly Hills, Calif. on Jan. 7, 2018. (Reuters). Roseanne Barr is explaining her and her character's unyield…","Roseanne Barr criticizes Hillary Clinton, says Trump is 'great for comedy' - Fox News",Tyler McCarthy,2018-02-15T20:21:01Z,2,0.625,0.55,0.75,0.8,,,,
161,"Defending his July 2016 public statement about the Hillary Clinton email case, then-FBI Director James Comey told senior agents later that year he worried the Justice Department would ""screw around"" with a decision on whether to prosecute her, and he said tha…",Comey worried DOJ would 'screw around' with deciding whether to prosecute Hillary Clinton,Catherine Herridge,2018-04-12T22:14:47Z,2,0.0333333333,0,0,0,,,,
162,Democratic campaign organizations have paid or pledged to pay more than $2 million for key parts of Hillary Clinton's 2016 campaign infrastructure -- including her email list and campaign software -- even as the party ramps up a costly campaign to win back bo…,"Hillary Clinton's email list, voter data, campaign software costing Democrats millions, report says",Samuel Chamberlain,2018-04-25T23:43:56Z,2,0.475,0.325,0,0,,,,
163,"Democrats who typically fall into the Clinton camp are trashing the two-time failed presidential candidate for singling out white female Trump voters, blaming their ballots cast in 2016 on “pressure” from male figures in their lives.",Hillary Clinton criticized by fellow Dems for trashing female Trump voters,Brooke Singman,2018-03-14T17:55:14Z,2,0.2133333333,-0.1333333333,0.1666666667,0,,,,
164,Fox News Contributor Jessica Tarlov and comedian Tom Cotter join Tom Shillue to discuss the most important stories of the day including the fallout over Hillary Clinton's remarks in India where she insulted Trump voters -- again. The gang also discuss Trump's…,"Jessica Tarlov, Tom Cotter: Hillary Tops Her Deplorable Remark & Trump’s Mexican Mountain Climbers",FOX News Radio,2018-03-13T22:45:00Z,2,0.75,0.45,0.45,-0.3,,,,
165,Former Clinton aide calls private email scandal 'trivial and irrelevant' in new memoir. Fox News contributor sounds off.,Bossie: Hillary is the gift that keeps on giving to GOPers,,2018-03-27T14:57:16Z,2,0.4573863636,-0.0909090909,0,0,,,,
166,"JUST IN: Hillary Clinton says Donald Trump's supporters are ""backwards"" people who want to take away the civil rights of black people and force women back into the kitchen. I'd rather stand with gun-toting, Bible-clinging deporables than a bitter woman who tu…",Todd Starnes Show – 03/13/18,FOX News Radio,2018-03-13T20:00:00Z,2,0.3111111111,-0.0888888889,0,0,,,,
167,"President Donald Trump, during a freewheeling speech to Republican donors in Florida on Saturday, attacked his former presidential rival Hillary Clinton, one of his predecessors in President George W. Bush, and praised China's President Xi Jinping for his rec…",Trump on China's 'President for life': Maybe we'll give that a shot some day,"Kevin Liptak, CNN White House Producer",2018-03-04T00:16:08Z,1,0,0,0,0,,,,
168,"The Pennsylvania special election -- its outcome still on a razor's edge -- shows it's not merely ""purple districts"" or ""Hillary Districts"" at risk for Republicans, but even some solidly red districts, writes Douglas Heye. If it can happen here, it can happen…",GOPer: We're in trouble,Douglas Heye,2018-03-14T05:52:54Z,1,0.3571428571,0.2023809524,0.2,-0.2,,,,
169,"Fox News Insider Brazile Urges Clinton to 'Stay on the Battlefield,' Use 'Invaluable Experience' to Help Dems Fox News Insider Donna Brazile said Thursday she hopes Hillary Clinton ""stays on the battlefield"" and uses her ""invaluable experience"" to help the co…","Brazile Urges Clinton to 'Stay on the Battlefield,' Use 'Invaluable Experience' to Help Dems - Fox News Insider",Fox News Insider,2018-03-29T20:20:08Z,2,0,0,0,0,,,,
170,"Jill McCabe, the wife of former FBI Deputy Director Andrew McCabe, denied Monday that contributions to her 2015 Virginia Senate campaign from a top Hillary Clinton ally's political organization played any role in the FBI investigation into Clinton's personal …","Jill McCabe, wife of fired FBI official Andrew McCabe, breaks silence on campaign money",Samuel Chamberlain,2018-04-03T00:42:42Z,2,0.225,0.125,0,0,,,,
171,"A Justice Department review is expected to criticize former FBI Deputy Director Andrew McCabe for divulging information about an ongoing investigation into Hillary Clinton's handling of classified information to the media,The New York Times reports, citing fo…",NYT: Justice review expected to criticize Andrew McCabe for media disclosures,"Aileen Graef, CNN",2018-03-02T02:08:40Z,1,0.2848484848,0.0121212121,0.4,-0.1,,,,
172,"During the final months of the Clinton email investigation, FBI agent Peter Strzok was advised of an irregularity in the metadata of Hillary Clinton’s server that suggested a possible breach, but there was no significant follow up, according to two sources wi…","FBI agent Peter Strzok was told of possible breach into Clinton's server but didn't follow up, sources say",Catherine Herridge,2018-03-05T23:40:59Z,2,0.9583333333,-0.0625,1,0,,,,
173,"The chairman of the House Judiciary Committee subpoenaed the Justice Department on Thursday seeking documents related to a trio of recent controversial decisions made by the FBI, including the decision in 2016 to not charge Hillary Clinton after the probe of …","House Judiciary chairman subpoenas DOJ for Clinton email and McCabe, FISA documents","Manu Raju, David Shortell and Laura Jarrett, CNN",2018-03-23T00:00:15Z,1,0.5333333333,0.1833333333,0,0,,,,
174,"Tucker: In the 1990s, Bill Clinton pledged to deport illegal immigrants. In the 2000s, Barack Obama and Hillary Clinton touted efforts to secure the border. As president, the Obama administration created DACA and other programs to block deportations for certa…",Tucker: Left's rhetoric on immigration less disguised,,2018-03-30T00:20:25Z,2,0.4916666667,-0.075,0.0333333333,-0.0833333333,,,,
175,Utah US attorney John Huber was revealed Thursday as the person Attorney General Jeff Sessions tasked with looking into Republican claims of FBI misconduct and whether more should have been done to investigate Hillary Clinton's ties to a Russian nuclear agenc…,"Who is John Huber, the Utah US attorney investigating claims of FBI misconduct?","Veronica Stracqualursi, CNN",2018-03-29T21:34:33Z,1,0.3333333333,0.1833333333,0,0,,,,
176,"House Judiciary Committee Chairman Bob Goodlatte subpoenaed the Department of Justice Thursday for documents regarding the charging decisions in the investigation into Hillary Clinton’s private email server, potential abuses of the Foreign Intelligence Survei…","Goodlatte subpoenas DOJ for documents related to Clinton email probe, FISA abuses",Brooke Singman,2018-03-22T22:47:01Z,2,0.5,-0.0416666667,0.4,0,,,,
177,"Facebook may have handed over the date of millions of user to the Obama re-election campaign in 2012. In addition, Hillary Clinton’s 2016 presidential campaign collected the Facebook data of millions of people. All of these could be considered campaign contri…",Did Facebook break campaign finance laws?,,2018-03-31T00:26:13Z,2,0,0,0,0,,,,
178,"The Justice Department failed to meet an initial deadline to give the House Judiciary Committee 1.2 million documents related to the charging decisions in the Hillary Clinton email investigation, possible abuses of the Foreign Intelligence Surveillance Act an…","Justice Department misses deadline to hand over FBI documents on FISA, Clinton Foundation",Samuel Chamberlain,2018-04-06T00:34:29Z,2,0.365,-0.125,0,0,,,,
179,An FBI informant involved in the controversial Uranium One deal has told congressional committees that Moscow paid millions to a U.S. lobbying firm in a bid to influence then-Secretary of State Hillary Clinton by helping former President Bill Clinton’s charit…,Informant says Moscow paid millions in bid to influence Clinton,Brooke Singman,2018-02-08T15:42:47Z,2,0.45,0.1166666667,0,0,,,,
180,"Democrats say a whistleblower who has been a key component of a Republican-led investigation into Hillary Clinton's role in the approval a uranium sale to a Russian state energy company provided Congress with no evidence of wrongdoing involving Clinton, Presi…",Democrats say Uranium One whistleblower provided no evidence against Clintons,"Jeremy Herb, CNN",2018-03-08T19:27:02Z,1,0.5,0,0,0,,,,
